cid,lat,lon,urban,households,y_true_pc_cons,y_pred,out_of_fold,n_oof_splits,hr_gsd_m_per_px,subtiles_bought,subtiles_total,hr_frac,objects_acquired,objects_full_grid
59,0.390714,32.073822,1,7,3.4286,3.6788,1,1,1.1944,113,256,0.44141,128,152
60,0.341261,32.091141,0,15,2.761,1.4987,1,3,1.1944,0,256,0.0,0,11
61,0.213035,31.052639,0,5,3.6597,1.9885,1,3,1.1944,16,256,0.0625,9,29
62,0.555412,31.395668,0,11,2.4184,3.3874,1,3,1.1944,229,256,0.89453,476,482
63,0.594949,31.817333,0,12,2.601,2.4687,1,1,1.1944,0,256,0.0,0,28
64,0.470483,31.83392,0,13,1.9911,1.7141,1,2,1.1944,0,256,0.0,0,11
65,0.585502,31.729452,0,9,2.743,1.5111,1,2,1.1944,0,256,0.0,0,16
66,0.411243,32.047512,0,9,1.9819,2.6704,1,3,1.1944,154,256,0.60156,166,200
67,0.549947,32.166386,0,7,2.7707,1.712,1,4,1.1944,9,256,0.03516,1,19
68,0.345332,32.908588,1,10,13.9226,2.326,1,1,1.1944,0,256,0.0,0,84
69,0.411417,33.141369,1,7,2.5334,3.9541,1,3,1.1944,13,256,0.05078,10,75
70,0.322533,33.157059,0,7,4.2692,3.5173,0,0,1.1944,8,256,0.03125,1,9
71,0.369691,33.187431,0,11,1.3151,1.6888,1,1,1.1944,4,256,0.01562,0,9
72,0.376263,33.191013,0,10,1.6019,1.6314,0,0,1.1944,0,256,0.0,0,8
73,0.162611,33.47274,0,9,3.0905,4.1718,1,1,1.1944,0,256,0.0,0,4
74,0.428337,32.801392,0,14,2.1653,1.7667,1,2,1.1944,1,256,0.00391,0,34
75,0.401289,32.667038,0,10,8.9346,3.8085,1,4,1.1944,71,256,0.27734,121,232
76,0.584245,32.79068,0,9,2.36,1.6286,1,2,1.1944,2,256,0.00781,1,29
77,0.684824,32.829208,0,6,1.7393,3.4207,1,1,1.1944,134,256,0.52344,306,327
78,0.62514,32.919586,0,10,1.8357,1.7433,1,1,1.1944,4,256,0.01562,0,21
79,-0.538089,31.633837,1,11,5.8843,5.6343,0,0,1.1944,16,256,0.0625,2,6
80,-0.287338,31.222494,0,10,2.6058,1.8154,1,1,1.1944,4,256,0.01562,1,10
81,-0.860617,31.70356,0,15,2.9772,3.3534,1,2,1.1944,0,256,0.0,0,160
82,-0.517635,31.18162,0,11,1.2634,2.2558,1,2,1.1944,36,256,0.14062,2,9
83,-0.387858,31.521362,0,13,1.9885,2.1495,1,1,1.1944,8,256,0.03125,1,5
84,-0.394576,31.751677,0,7,3.4344,2.4477,1,1,1.1944,49,256,0.19141,64,102
85,0.145367,31.23106,0,8,2.6016,1.69,1,4,1.1944,18,256,0.07031,1,15
86,-0.292248,31.478722,0,8,2.6859,1.4066,1,1,1.1944,23,256,0.08984,0,6
87,-0.15147,31.434137,0,11,1.944,1.9486,0,0,1.1944,2,256,0.00781,0,1
88,0.726581,32.918507,1,8,2.5098,2.2614,0,0,1.1944,8,256,0.03125,8,64
89,0.827235,32.844086,0,9,2.4739,1.8838,1,3,1.1944,0,256,0.0,0,21
90,0.73291,32.958759,0,8,2.481,2.2076,1,1,1.1944,0,256,0.0,0,22
91,0.067728,32.471592,1,6,2.9259,4.7768,1,3,1.1944,211,256,0.82422,193,200
92,0.218554,32.539898,1,3,3.8132,3.6164,1,1,1.1944,136,256,0.53125,59,127
93,0.350127,32.669987,1,8,4.3185,4.2313,1,3,1.1944,224,256,0.875,234,269
94,0.375993,32.535873,1,5,6.9711,4.7341,1,2,1.1944,115,256,0.44922,13,45
95,0.261842,32.556755,1,5,5.5069,5.3192,0,0,1.1944,196,256,0.76562,148,162
96,0.171256,32.347549,0,6,2.8893,1.8807,1,1,1.1944,0,256,0.0,0,41
97,0.050523,32.537659,0,7,4.0211,4.2256,0,0,1.1944,0,256,0.0,0,0
98,0.265681,32.462757,0,9,11.352,10.0032,0,0,1.1944,90,256,0.35156,49,62
99,0.16093,32.552933,0,11,3.9651,4.1449,1,3,1.1944,148,256,0.57812,38,44
100,0.242753,32.344612,0,8,3.6596,2.1683,1,2,1.1944,5,256,0.01953,5,63
101,0.347713,32.68298,0,7,4.2255,4.1316,0,0,0.2986,203,256,0.79297,1892,1915
102,0.349635,32.537231,0,8,3.6215,5.413,1,1,0.2986,78,256,0.30469,5076,11733
103,0.255861,32.604019,0,6,5.5816,4.2137,1,1,0.2986,256,256,1.0,12749,12749
104,0.274455,32.547256,0,7,5.4248,5.8694,1,3,0.2986,131,256,0.51172,4763,8807
105,0.439622,33.779018,0,14,1.1668,1.6109,0,0,0.5972,45,256,0.17578,301,375
106,0.317403,33.883095,0,10,1.1156,1.6355,1,1,0.5972,15,256,0.05859,20,79
107,0.712214,33.69397,0,10,1.1932,1.9939,1,1,0.5972,0,256,0.0,0,11
108,0.103999,33.783092,0,2,0.6257,1.2172,0,0,0.5972,4,256,0.01562,4,25
109,0.467748,34.091698,1,3,2.1071,3.4419,1,2,0.5972,251,256,0.98047,16366,16370
110,0.490654,34.09177,0,8,1.1818,2.1664,1,2,0.5972,14,256,0.05469,198,546
111,0.389015,34.057812,0,10,1.0428,3.2189,1,1,0.5972,5,256,0.01953,1,54
112,0.615905,33.470055,1,4,2.4665,2.6755,1,1,0.5972,188,256,0.73438,3062,3245
113,0.623697,33.474148,1,10,5.2058,3.8601,1,3,0.5972,169,256,0.66016,6039,6351
114,0.551626,33.618896,0,9,0.9651,1.2431,0,0,0.5972,24,256,0.09375,103,157
115,0.88739,33.510559,0,9,1.8963,3.3926,1,1,0.5972,80,256,0.3125,383,524
116,0.595877,33.417397,0,10,1.882,1.3234,1,1,0.5972,0,256,0.0,0,19
117,0.674983,33.519897,0,6,1.0422,1.4875,1,1,0.5972,0,256,0.0,0,40
118,1.016565,33.32798,0,8,1.4567,2.4524,1,2,0.5972,20,256,0.07812,14,65
119,0.775407,33.347477,0,12,2.5411,1.2524,1,3,0.5972,0,256,0.0,0,12
120,0.512376,32.957378,1,8,4.6936,4.3669,0,0,0.5972,0,256,0.0,0,0
121,0.432437,33.240677,1,4,2.3655,3.7886,1,1,0.2986,13,256,0.05078,141,316
122,0.485488,33.238556,1,8,6.1508,4.5189,0,0,0.2986,92,256,0.35938,498,725
123,0.617302,33.346489,0,10,1.4885,1.5869,1,4,0.5972,0,256,0.0,0,26
124,0.551319,33.125862,0,8,1.4347,1.5327,1,3,0.5972,0,256,0.0,0,45
125,0.558306,33.110214,0,9,1.6088,2.2094,1,2,0.5972,0,256,0.0,0,25
126,0.884191,33.202682,1,8,2.3645,2.0757,0,0,0.5972,8,256,0.03125,16,28
127,1.209233,33.047924,0,10,1.1905,2.8832,1,2,0.5972,0,256,0.0,0,40
128,1.093026,33.17445,0,13,1.0418,1.4524,1,1,0.5972,20,256,0.07812,10,30
129,1.008671,33.007843,0,13,1.3202,2.0962,1,1,0.5972,0,256,0.0,0,9
130,0.982801,33.383282,0,12,1.4178,1.4577,0,0,0.5972,9,256,0.03516,11,25
131,1.088838,33.402161,0,8,1.0137,1.1656,0,0,0.5972,62,256,0.24219,89,102
132,0.773993,33.074753,0,9,1.3887,2.5141,1,2,0.5972,0,256,0.0,0,81
133,1.331631,34.660862,0,7,1.519,1.9993,1,2,0.5972,15,256,0.05859,36,166
134,1.382185,34.404453,0,8,1.1432,2.0374,1,2,0.5972,77,256,0.30078,135,247
135,2.030962,33.563293,0,4,1.2777,1.6116,1,2,0.5972,0,256,0.0,0,1
136,1.88799,33.939503,0,11,1.3851,1.4097,0,0,0.5972,7,256,0.02734,1,5
137,1.669409,33.960934,0,11,1.61,1.4509,1,3,0.5972,0,256,0.0,0,3
138,1.205675,33.721718,1,11,5.8322,1.8461,1,2,0.5972,4,256,0.01562,2,17
